Filename,Original Size (bytes),DCT Size (bytes),Lapped Size (bytes),DCT Compression Ratio,Lapped Compression Ratio
9.png,582899,116593,260903,4.999433928280428,2.2341598218494996
6.png,618959,181129,260903,3.4172275008419413,2.3723721076415374
20.png,492462,120209,260903,4.096714888236321,1.8875290816893635
22.png,701970,221542,260903,3.16856397432541,2.690540162435848
10.png,593463,173128,260903,3.427885726167922,2.2746499656960633
14.png,692201,237476,260903,2.914825077060419,2.6530971280514213
21.png,637051,178082,260903,3.577290237081794,2.4417158867471818
23.png,557596,181810,260903,3.066916011220505,2.1371774184275383
24.png,706397,246989,260903,2.8600342525375626,2.7075081543715482
3.png,502888,177543,260903,2.832485651363332,1.9274902933274052
8.png,788470,241111,260903,3.270153580715936,3.022081003284746
5.png,785610,290383,260903,2.705426970587121,3.011119074905233
11.png,621023,252478,260903,2.459711341186163,2.380283093716822
7.png,566322,176180,260903,3.2144511295266205,2.170622798511324
12.png,531024,54399,260903,9.76165003033144,2.0353311383924293
2.png,617995,260903,260903,2.3686772478660654,2.3686772478660654
1.png,736501,235394,260903,3.1288010739441106,2.822892032671146
19.png,671476,204230,260903,3.2878421387651176,2.573661475720862
13.png,822712,284900,260903,2.8877220077220076,3.1533251821558204
16.png,534247,199708,260903,2.6751407054299277,2.04768438845088
18.png,780947,288388,260903,2.7079732859897083,2.9932465322361184
4.png,637432,211718,260903,3.0107595953107436,2.4431761995837533
15.png,612582,192527,260903,3.1817978777002707,2.3479300736288966
17.png,602078,205098,260903,2.93556251157983,2.3076699003077774
