Filename,Original Size (bytes),DCT Size (bytes),Lapped Size (bytes),DCT Compression Ratio,Lapped Compression Ratio
4.tif,89148,5928,328318,15.038461538461538,0.27152943183133427
6.tif,430068,128294,328318,3.3522066503499772,1.3099129502494533
3.tif,360678,310126,328318,1.1630047142129327,1.0985629785756492
10.tif,360678,315474,328318,1.143289145856711,1.0985629785756492
2.tif,1286,1860,328318,0.6913978494623656,0.0039169341918505836
7.tif,1049286,43038,328318,24.3804544820856,3.1959441760731973
5.tif,286740,176250,328318,1.6268936170212767,0.8733605833368868
1.tif,54968,12648,328318,4.345983554712207,0.167423047167685
8.tif,356976,173328,328318,2.0595402935474936,1.0872873250933546
9.tif,765450,265058,328318,2.8878585064401,2.3314286758569436
